filepath	title	cname	value	sample_weights_by_class
/mnt/extension/experiment/COCO/val2017//000000360661.jpg	Rank the numbers of horse.	horse	3	0.0069444444444444
/mnt/extension/experiment/COCO/val2017//000000016228.jpg	Rank the numbers of horse.	horse	1	0.0016339869281045
/mnt/extension/experiment/COCO/val2017//000000382088.jpg	Rank the numbers of horse.	horse	1	0.0016339869281045
/mnt/extension/experiment/COCO/val2017//000000340175.jpg	Rank the numbers of apple.	apple	3	0.004524886877828
/mnt/extension/experiment/COCO/val2017//000000034873.jpg	Rank the numbers of apple.	apple	1	0.002262443438914
/mnt/extension/experiment/COCO/val2017//000000367680.jpg	Rank the numbers of horse.	horse	1	0.0016339869281045
/mnt/extension/experiment/COCO/val2017//000000319721.jpg	Rank the numbers of horse.	horse	1	0.0016339869281045
/mnt/extension/experiment/COCO/val2017//000000389381.jpg	Rank the numbers of apple.	apple	1	0.002262443438914
/mnt/extension/experiment/COCO/val2017//000000339442.jpg	Rank the numbers of apple.	apple	1	0.002262443438914
/mnt/extension/experiment/COCO/val2017//000000061171.jpg	Rank the numbers of horse.	horse	1	0.0016339869281045
/mnt/extension/experiment/COCO/val2017//000000121031.jpg	Rank the numbers of horse.	horse	4	0.0158730158730158
/mnt/extension/experiment/COCO/val2017//000000172547.jpg	Rank the numbers of horse.	horse	7	0.1111111111111111
/mnt/extension/experiment/COCO/val2017//000000369081.jpg	Rank the numbers of horse.	horse	3	0.0069444444444444
/mnt/extension/experiment/COCO/val2017//000000509131.jpg	Rank the numbers of apple.	apple	4	0.0098039215686274
/mnt/extension/experiment/COCO/val2017//000000177714.jpg	Rank the numbers of apple.	apple	1	0.002262443438914
/mnt/extension/experiment/COCO/val2017//000000429281.jpg	Rank the numbers of apple.	apple	3	0.004524886877828
/mnt/extension/experiment/COCO/val2017//000000113235.jpg	Rank the numbers of horse.	horse	1	0.0016339869281045
/mnt/extension/experiment/COCO/val2017//000000078266.jpg	Rank the numbers of apple.	apple	1	0.002262443438914
/mnt/extension/experiment/COCO/val2017//000000440475.jpg	Rank the numbers of apple.	apple	1	0.002262443438914
/mnt/extension/experiment/COCO/val2017//000000087470.jpg	Rank the numbers of horse.	horse	3	0.0069444444444444
/mnt/extension/experiment/COCO/val2017//000000281447.jpg	Rank the numbers of horse.	horse	3	0.0069444444444444
/mnt/extension/experiment/COCO/val2017//000000552371.jpg	Rank the numbers of horse.	horse	2	0.0039682539682539
/mnt/extension/experiment/COCO/val2017//000000560256.jpg	Rank the numbers of apple.	apple	13	0.0294117647058823
/mnt/extension/experiment/COCO/val2017//000000323828.jpg	Rank the numbers of horse.	horse	1	0.0016339869281045
/mnt/extension/experiment/COCO/val2017//000000023034.jpg	Rank the numbers of horse.	horse	2	0.0039682539682539
/mnt/extension/experiment/COCO/val2017//000000141671.jpg	Rank the numbers of horse.	horse	4	0.0158730158730158
/mnt/extension/experiment/COCO/val2017//000000506656.jpg	Rank the numbers of horse.	horse	3	0.0069444444444444
/mnt/extension/experiment/COCO/val2017//000000272566.jpg	Rank the numbers of apple.	apple	3	0.004524886877828
/mnt/extension/experiment/COCO/val2017//000000289222.jpg	Rank the numbers of horse.	horse	1	0.0016339869281045
/mnt/extension/experiment/COCO/val2017//000000439715.jpg	Rank the numbers of horse.	horse	1	0.0016339869281045
/mnt/extension/experiment/COCO/val2017//000000227686.jpg	Rank the numbers of horse.	horse	1	0.0016339869281045
/mnt/extension/experiment/COCO/val2017//000000476215.jpg	Rank the numbers of horse.	horse	2	0.0039682539682539
/mnt/extension/experiment/COCO/val2017//000000424721.jpg	Rank the numbers of apple.	apple	2	0.0042016806722689
/mnt/extension/experiment/COCO/val2017//000000246968.jpg	Rank the numbers of apple.	apple	1	0.002262443438914
/mnt/extension/experiment/COCO/val2017//000000183675.jpg	Rank the numbers of horse.	horse	1	0.0016339869281045
/mnt/extension/experiment/COCO/val2017//000000049269.jpg	Rank the numbers of horse.	horse	1	0.0016339869281045
/mnt/extension/experiment/COCO/val2017//000000405249.jpg	Rank the numbers of apple.	apple	11	0.0294117647058823
/mnt/extension/experiment/COCO/val2017//000000537506.jpg	Rank the numbers of apple.	apple	2	0.0042016806722689
/mnt/extension/experiment/COCO/val2017//000000125936.jpg	Rank the numbers of apple.	apple	7	0.0294117647058823
